iter	Logloss
0	0.6348221657
1	0.5870728138
2	0.5472799212
3	0.5134111289
4	0.484605352
5	0.4598345975
6	0.4386466581
7	0.4202083513
8	0.4043954885
9	0.3904597264
10	0.3782094167
11	0.3672946559
12	0.3577035069
13	0.3492395314
14	0.3417370791
15	0.3352294961
16	0.3293064532
17	0.324121964
18	0.3195402512
19	0.3155049951
20	0.3118547826
21	0.3086682816
22	0.3058130635
23	0.3031953593
24	0.3008900223
25	0.2988593921
26	0.2969822603
27	0.2953086012
28	0.293843526
29	0.2924838839
30	0.2908447098
31	0.2894262789
32	0.2881580735
33	0.2870523017
34	0.286047848
35	0.2852089629
36	0.2844367657
37	0.2836624882
38	0.2830555888
39	0.28250316
40	0.2820150618
41	0.2815756778
42	0.2811113575
43	0.2807458613
44	0.2803500802
45	0.2800189224
46	0.2797407352
47	0.2795802285
48	0.2793301606
49	0.2790340861
50	0.2788330625
51	0.2786065593
52	0.2783778088
53	0.2781667542
54	0.2779982202
55	0.2778619416
56	0.2777182561
57	0.2775896604
58	0.2774828868
59	0.2773089982
60	0.2771316524
61	0.2770248222
62	0.2769295488
63	0.2768169771
64	0.2766653559
65	0.2765884272
66	0.2764894626
67	0.2763938611
68	0.2763167179
69	0.2762017292
70	0.2761308418
71	0.2760251117
72	0.2759419208
73	0.2758666132
74	0.2757496888
75	0.2756945118
76	0.2756500061
77	0.2756013174
78	0.2754846834
79	0.2754185104
80	0.2753924821
81	0.2753357155
82	0.2752576387
83	0.2752056669
84	0.275160073
85	0.2750828136
86	0.2750299046
87	0.2749542008
88	0.2749170013
89	0.2748679931
90	0.2748329133
91	0.2747947174
92	0.274790934
93	0.2747422243
94	0.2746995962
95	0.2746107232
96	0.2745367182
97	0.2744948032
98	0.2744431972
99	0.2743992846
