iter	Passed	Remaining
0	4914	486512
1	8113	397577
2	10476	338741
3	13279	318702
4	15616	296709
5	18021	282333
6	20382	270790
7	22714	261214
8	25009	252874
9	27321	245895
10	29725	240504
11	32244	236461
12	34666	231995
13	36981	227171
14	39504	223858
15	41787	219382
16	44057	215105
17	46391	211337
18	48743	207802
19	51008	204034
20	53291	200475
21	55531	196882
22	57762	193379
23	60014	190045
24	62314	186943
25	64584	183817
26	66839	180714
27	69403	178465
28	71873	175966
29	74223	173187
30	76894	171151
31	79240	168385
32	81642	165758
33	83870	162807
34	86224	160131
35	88545	157414
36	90859	154706
37	93154	151989
38	95366	149163
39	97648	146472
40	99897	143754
41	102169	141090
42	104656	138730
43	106858	136002
44	109088	133330
45	111333	130696
46	113668	128178
47	115902	125560
48	118149	122972
49	120386	120386
50	122582	117775
51	124904	115296
52	127218	112816
53	129545	110353
54	131827	107858
55	134133	105390
56	136773	103179
57	138971	100634
58	141260	98164
59	143547	95698
60	145874	93263
61	148242	90858
62	150511	88395
63	152811	85956
64	155123	83528
65	157403	81086
66	159690	78653
67	162039	76253
68	164312	73821
69	166614	71406
70	168926	68997
71	171357	66639
72	173735	64258
73	176029	61848
74	178264	59421
75	180589	57028
76	182840	54614
77	185106	52209
78	187539	49852
79	189835	47458
80	192082	45056
81	194364	42665
82	196716	40291
83	199011	37906
84	201355	35533
85	203646	33151
86	206050	30789
87	208399	28418
88	210670	26037
89	212968	23663
90	215309	21294
91	217689	18929
92	218811	16469
93	221210	14119
94	223506	11763
95	225854	9410
96	228128	7055
97	230407	4702
98	232676	2350
99	235011	0
